Iteration, Estimate
1710,15.5098
1711,15.5438
1712,15.5851
1713,15.6348
1714,15.6936
1715,15.7624
1716,15.842
1717,15.9332
1718,16.0372
1719,16.0685
1720,16.0096
1721,15.9565
1722,15.909
1723,15.867
1724,15.8302
1725,15.7985
1726,15.7718
1727,15.75
1728,15.733
1729,15.7208
1730,15.7134
1731,15.7106
1732,15.7126
1733,15.7194
1734,15.7305
1735,15.7458
1736,15.7535
1737,15.6239
1738,15.4955
1739,15.3688
1740,15.244
1741,15.1216
1742,15.0019
1743,14.8848
1744,14.7709
1745,14.6606
1746,14.5543
1747,14.4523
1748,14.3547
1749,14.2617
1750,14.1736
1751,14.0904
1752,14.0123
1753,13.9394
1754,13.8717
1755,13.8093
1756,13.7523
1757,13.7008
1758,13.6548
1759,13.6143
1760,13.5795
1761,13.5504
1762,13.5272
1763,13.5098
1764,13.4985
1765,13.4934
1766,13.4947
1767,13.5025
1768,13.5168
1769,13.5379
1770,13.5663
1771,13.6026
1772,13.6467
1773,13.6991
1774,13.7607
1775,13.8321
1776,13.9139
1777,14.007
1778,14.1119
1779,14.2294
1780,14.3604
1781,14.5059
1782,14.6678
1783,14.8472
1784,15.0459
1785,15.2654
1786,15.5078
1787,15.7751
1788,16.0697
1789,16.3944
1790,16.752
1791,16.966
1792,16.9371
1793,16.9083
1794,16.8798
1795,16.8402
1796,16.7758
1797,16.7186
1798,16.6683
1799,16.6245
1800,16.5868
1801,16.5549
1802,16.5285
1803,16.5073
1804,16.491
1805,16.4794
1806,16.4723
1807,16.4694
1808,16.4705
1809,16.4754
1810,16.4841
1811,16.4835
1812,16.4688
1813,16.4556
1814,16.444
1815,16.4334
1816,16.4241
1817,16.4167
1818,16.4112
1819,16.4077
1820,16.4064
1821,16.4074
1822,16.4108
1823,16.4167
1824,16.4253
1825,16.4367
1826,16.451
1827,16.4684
1828,16.489
1829,16.513
1830,16.5406
1831,16.5718
1832,16.5837
1833,16.576
1834,16.5679
1835,16.5595
1836,16.5511
1837,16.5428
1838,16.5346
1839,16.5264
1840,16.5182
1841,16.5101
1842,16.502
1843,16.4939
1844,16.4859
